,compound,neg,neu,pos
0,0.4404,0.0,0.791,0.209
1,-0.5994,0.151,0.849,0.0
2,0.7845,0.0,0.699,0.301
3,0.0,0.0,1.0,0.0
4,0.0,0.0,1.0,0.0
5,0.0,0.0,1.0,0.0
6,-0.5256,0.139,0.861,0.0
7,-0.25,0.083,0.917,0.0
8,0.3612,0.159,0.59,0.251
9,0.802,0.0,0.594,0.406
10,-0.0258,0.108,0.788,0.104
11,0.1779,0.104,0.758,0.137
12,-0.1639,0.073,0.881,0.046
13,-0.3134,0.432,0.568,0.0
14,0.1779,0.104,0.758,0.137
15,0.4404,0.0,0.805,0.195
16,0.5574,0.0,0.806,0.194
17,0.0,0.0,1.0,0.0
18,-0.1774,0.161,0.663,0.175
19,0.0,0.0,1.0,0.0
20,0.431,0.0,0.849,0.151
21,0.5574,0.0,0.806,0.194
22,-0.5859,0.324,0.539,0.137
23,0.0,0.0,1.0,0.0
24,0.0,0.0,1.0,0.0
25,-0.5994,0.151,0.849,0.0
26,0.0,0.0,1.0,0.0
27,0.7399,0.083,0.638,0.28
28,-0.1639,0.073,0.881,0.046
29,0.4404,0.0,0.879,0.121
30,0.0,0.0,1.0,0.0
31,-0.3818,0.146,0.854,0.0
32,0.0,0.0,1.0,0.0
33,0.0,0.0,1.0,0.0
34,0.4939,0.0,0.652,0.348
35,0.1779,0.104,0.758,0.137
36,0.0,0.0,1.0,0.0
37,0.0,0.0,1.0,0.0
38,0.0,0.0,1.0,0.0
39,0.5574,0.0,0.806,0.194
40,-0.3818,0.146,0.854,0.0
41,0.1779,0.104,0.758,0.137
42,0.6369,0.127,0.599,0.275
43,-0.5994,0.151,0.849,0.0
44,0.0,0.0,1.0,0.0
45,0.1779,0.104,0.758,0.137
46,0.1779,0.104,0.758,0.137
47,0.0,0.0,1.0,0.0
48,-0.1639,0.073,0.881,0.046
49,-0.3612,0.233,0.651,0.116
50,0.1298,0.0,0.945,0.055
51,0.9477,0.0,0.441,0.559
52,0.4019,0.0,0.886,0.114
53,0.1779,0.104,0.758,0.137
54,0.0,0.0,1.0,0.0
55,-0.0516,0.125,0.761,0.114
56,0.3818,0.0,0.86,0.14
57,-0.3818,0.146,0.854,0.0
58,-0.1639,0.073,0.881,0.046
59,0.2014,0.061,0.841,0.098
60,0.4404,0.0,0.805,0.195
61,0.0,0.0,1.0,0.0
62,-0.5106,0.191,0.809,0.0
63,-0.1639,0.073,0.881,0.046
64,0.1779,0.104,0.758,0.137
65,-0.3182,0.535,0.465,0.0
66,0.0,0.0,1.0,0.0
67,-0.3818,0.146,0.854,0.0
68,-0.1639,0.073,0.881,0.046
69,-0.2003,0.172,0.69,0.138
70,0.0,0.0,1.0,0.0
71,-0.6597,0.216,0.784,0.0
72,0.5574,0.0,0.806,0.194
73,-0.0258,0.108,0.788,0.104
74,0.296,0.102,0.741,0.157
75,-0.1639,0.073,0.881,0.046
76,-0.296,0.084,0.916,0.0
77,0.7399,0.083,0.638,0.28
78,-0.8658,0.314,0.686,0.0
79,0.0,0.0,1.0,0.0
80,-0.0258,0.108,0.788,0.104
81,-0.4617,0.221,0.625,0.154
82,-0.296,0.125,0.804,0.071
83,-0.4939,0.151,0.849,0.0
84,0.0,0.0,1.0,0.0
85,-0.3089,0.101,0.899,0.0
86,0.0,0.0,1.0,0.0
87,0.5267,0.0,0.793,0.207
88,0.0,0.0,1.0,0.0
89,0.0,0.0,1.0,0.0
90,-0.1639,0.073,0.881,0.046
91,0.0,0.0,1.0,0.0
92,0.1779,0.104,0.758,0.137
93,0.4404,0.0,0.633,0.367
94,0.0,0.0,1.0,0.0
95,0.0,0.0,1.0,0.0
96,-0.6597,0.216,0.784,0.0
97,0.0258,0.126,0.744,0.13
98,0.0,0.0,1.0,0.0
99,0.1779,0.104,0.758,0.137
